"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"75800217101934592","","","75799692323196928","821958","2011-06-01 05:45:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DanaDanger: I like Go so much, I wrote an OAuth client in it. Uh, what? http://t.co/OFFsuDf","https://github.com/DanaDanger/oauth1"
"75668686945521665","","","","","2011-05-31 21:03:15 +0000","web","Fever and chills in 100 degree weather #tucson"
"75436086289117184","","","","","2011-05-31 05:38:59 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hummingbirds, sun, babies, best friends #Tucson"
"73943857292775424","","","73940426691837952","15040624","2011-05-27 02:49:24 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @putnamp: If you're wearing dad shorts and you aren't a dad you won't ever be a dad."
"73890677183877120","","","73871762340851712","194848617","2011-05-26 23:18:04 +0000","web","RT @commonalgebra: The Train Traveler's Wife #lessinterestingbooks"
"73870278668722176","","","","","2011-05-26 21:57:01 +0000","web","Laughterhouse-five #lessinterestingbooks"
"73867565843230720","","","","","2011-05-26 21:46:14 +0000","web","Ender's Little League Game #lessinterestingbooks"
"73525207473725440","","","","","2011-05-25 23:05:50 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Breweries smell comfortingly bad, like kittens."
"73274008002502656","","","","","2011-05-25 06:27:39 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Interview with the Oly Rollers Rettig to Rumble http://t.co/BrF4WDy via @examinercom","http://exm.nr/k9H2mx"
"72784609468874752","","","","","2011-05-23 22:02:57 +0000","web","Twitter is still hiring! Awesome Ops, Eng and other people - send me your resume! http://t.co/BXJjajQ #jointheflock","https://twitter.com/positions.html"
"72711088340336640","","","","","2011-05-23 17:10:49 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Headed to SF for the week, please make it sunny."
